latitude,longitude,cluster_id,student_count,stop_name
,,455,50,VETTUVANKENI
,,456,50,CHOLA MANDAL
,,457,50,V.G.P.
,,458,50,PANAIYUR
,,459,50,UTHANDI VILLAGE
,,460,50,KANATHUR
,,461,50,NATURE CARE HOSPITAL
,,462,50,MUTTUKKADU
,,463,50,MUTTUKKADU BOAT YARD
,,464,50,KOVALAM
,,465,50,THIRUVOTRIYUR
,,466,50,THRUVOTRIYUR TEMPLE
,,467,50,THANGAL
,,468,50,ANNA NAGAR
,,469,50,ROYAPURAM P.S
,,470,50,CLIVE BATTERY
,,471,50,PARRYS
,,472,50,SECRETARIAT
,,473,50,CHEPAUK
,,474,50,Q.M.C
,,475,50,FORESHORE ESTATE
,,476,50,A.M.S.HOSPITAL
,,477,50,ADYAR O.T.
,,478,50,ADYAR DEPOT
,,479,50,THIRUVANMIYUR
,,480,50,KOTTIVAKKAM
,,481,50,PALAVAKKAM
,,482,50,NEELANKARAI
,,483,50,VETTUVANKENI
,,484,50,CHOLA MANDAL
,,485,50,V.G.P.
,,486,50,PANAIYUR
,,487,50,UTHANDI VILLAGE
,,488,50,KANATHUR
,,489,50,NATURE CARE HOSPITAL
,,490,50,MUTTUKKADU
,,491,50,MUTTUKKADU BOAT YARD
,,492,50,KOVALAM
,,493,50,BROADWAY
,,494,50,SECRETARIAT
,,495,50,CHEPAUK
,,496,50,Q.M.ARTS COLLEGE
,,497,50,FORESHORE ESTATE
,,498,50,A.M.S.HOSPITAL
,,499,50,ADYAR O.T.
,,500,50,ADYAR DEPOT
,,501,50,THIRUVANMIYUR
,,502,50,KOTTIVAKKAM
,,503,50,PALAVAKKAM
,,504,50,NEELANKARAI
,,505,50,VETTUVANKENI
,,506,50,CHOLA MANDAL
,,507,50,V.G.P.
,,508,50,PANAIYUR
,,509,50,UTHANDI VILLAGE
,,510,50,KANATHUR
,,511,50,NATURE CARE HOSPITAL
,,512,50,MUTTUKKADU
,,513,50,MUTTUKKADU BOAT YARD
,,514,50,KOVALAM
,,515,50,SALT OFFICE
,,516,50,KELAMBAKKAM
,,517,50,CHENGAMMAL RD. JN.
,,518,50,KOMAN NAGAR RD JN.
,,519,50,KALAVAKKAM TEA STALL
,,520,50,THIRUPORUR
,,521,50,TOLLGATE
,,522,50,TONDAIAYRPET
,,523,50,KALMANDAPAM P.S.
,,524,50,CLIVE BATTERY
,,525,50,PARRYS\BROADWAY
,,526,50,M.G.R.CENTRAL
,,527,50,EGMORE
,,528,50,MATERNITY HOSPITAL
,,529,50,D.P.I
,,530,50,STERLING RD./METROLOG. DEPT.
,,531,50,VIDYODAYA
,,532,50,PONDY BAZAAR/VIVEK & CO
,,533,50,THIAGARAYA NAGAR
,,534,50,SRINIVASA THEATER
,,535,50,SAIDAPET WEST
,,536,50,BROADWAY
,,537,50,M.G.R.CENTRAL
,,538,50,EGMORE
,,539,50,MATERNITY HOSPITAL
,,540,50,D.P.I
,,541,50,STERLING RD./METROLOG. DEPT.
,,542,50,VIDYODAYA
,,543,50,VIVEK & CO (KRISHNAN KOIL)
,,544,50,THIAGARAYA NAGAR
,,545,50,SRINIVASA THEATER
,,546,50,GOVT. GIRLS H.SC
,,547,50,JAFFARKHAN PET
,,548,50,EKKATTUTHANGAL
,,549,50,THIRUVERKADU
,,550,50,VELAPPANCHAVADI
,,551,50,VAANAGARAM
,,552,50,MADURAVOYAL
,,553,50,NERKUNDRAM
,,554,50,KOYAMBEDU MARKET
,,555,50,KOYAMBEDU P.S
,,556,50,M.M.D.A.COLONY RD.JN.
,,557,50,JN OF III AND 1ST AVE
,,558,50,JAFFARKHAN PET
,,559,50,CIPET
,,560,50,ST THOMAS MOUNT PO
,,561,50,MEENAMABAKKAM OLD AIRPORT
,,562,50,THIRUSOOLAM NATIONAL AIRPORT
,,563,50,PALLAVARAM
,,564,50,CHROMEPET
,,565,50,T.B.SANATORIUM
,,566,50,TAMBARAM
,,567,50,IRUMBULIYUR
,,568,50,PERUNGALATHUR
,,569,50,VANDALUR GATE
,,570,50,VANDALUR ZOO
,,571,50,KILAMBAKKAM B.S.
,,572,50,GUINDY TVK ESTATE
,,573,50,GUINDY CIPET
,,574,50,JAFFARKHANPET
,,575,50,12 THJN OF III AND 1ST AVE
,,576,50,M.M.D.A.COLONY RD.JN
,,577,50,KOYAMBEDU CHATRAM
,,578,50,THIRUMANGALAM
,,579,50,WHEELS INDIA RD.JN
,,580,50,THATHANKUPPAM
,,581,50,MALLIGAI NAGAR AVENUE
,,582,50,VINAYAGAPURAM
,,583,50,TEACHERS COLONY
,,584,50,REDHILLS
,,585,50,AAYURVEDA ASHRAMAM
,,586,50,KAVANGARAI
,,587,50,CYCLE SHOP
