MTC Bus Route Options
==================================================

1. Value: '1' | Text: '--Route--'
231. Value: '42C' | Text: '42C'
232. Value: '42D' | Text: '42D'
233. Value: '42M' | Text: '42M'
234. Value: '44' | Text: '44'
235. Value: '44C' | Text: '44C'
236. Value: '44CT' | Text: '44CT'
237. Value: '45A' | Text: '45A'
238. Value: '45ACT' | Text: '45ACT'
239. Value: '45B' | Text: '45B'
240. Value: '45BET' | Text: '45BET'
241. Value: '46' | Text: '46'
242. Value: '46ET' | Text: '46ET'
243. Value: '46G' | Text: '46G'
244. Value: '47' | Text: '47'
245. Value: '47A' | Text: '47A'
246. Value: '47C' | Text: '47C'
247. Value: '47CX' | Text: '47CX'
248. Value: '47D' | Text: '47D'
249. Value: '47DCT' | Text: '47DCT'
250. Value: '48A' | Text: '48A'
251. Value: '48AET' | Text: '48AET'
252. Value: '48B' | Text: '48B'
253. Value: '48BX' | Text: '48BX'
254. Value: '48C' | Text: '48C'
255. Value: '48K' | Text: '48K'
256. Value: '48P' | Text: '48P'
257. Value: '49' | Text: '49'
258. Value: '49A' | Text: '49A'
259. Value: '49F' | Text: '49F'
260. Value: '49K' | Text: '49K'
261. Value: '4M' | Text: '4M'
262. Value: '50' | Text: '50'
263. Value: '500' | Text: '500'
264. Value: '500A' | Text: '500A'
265. Value: '500D' | Text: '500D'
266. Value: '500E' | Text: '500E'
267. Value: '500ET' | Text: '500ET'
268. Value: '500P' | Text: '500P'
269. Value: '500R' | Text: '500R'
270. Value: '500W' | Text: '500W'
271. Value: '505' | Text: '505'
272. Value: '505K' | Text: '505K'
273. Value: '50ET' | Text: '50ET'
274. Value: '50M' | Text: '50M'
275. Value: '51' | Text: '51'
276. Value: '512' | Text: '512'
277. Value: '514' | Text: '514'
278. Value: '514ET' | Text: '514ET'
279. Value: '515' | Text: '515'
280. Value: '515A' | Text: '515A'
281. Value: '515B' | Text: '515B'
282. Value: '515K' | Text: '515K'
283. Value: '515M' | Text: '515M'
284. Value: '515T' | Text: '515T'
285. Value: '517K' | Text: '517K'
286. Value: '519T' | Text: '519T'
287. Value: '51A' | Text: '51A'
288. Value: '51AX' | Text: '51AX'
289. Value: '51B' | Text: '51B'
290. Value: '51C' | Text: '51C'
291. Value: '51D' | Text: '51D'
292. Value: '51J' | Text: '51J'
293. Value: '51M' | Text: '51M'
294. Value: '51T' | Text: '51T'
295. Value: '51X' | Text: '51X'
296. Value: '52' | Text: '52'
297. Value: '523' | Text: '523'
298. Value: '523A' | Text: '523A'
299. Value: '525' | Text: '525'
300. Value: '52B' | Text: '52B'
301. Value: '52C' | Text: '52C'
302. Value: '52G' | Text: '52G'
303. Value: '52H' | Text: '52H'
304. Value: '52K' | Text: '52K'
305. Value: '53' | Text: '53'
306. Value: '53A' | Text: '53A'
307. Value: '53E' | Text: '53E'
308. Value: '53G' | Text: '53G'
309. Value: '53P' | Text: '53P'
310. Value: '54' | Text: '54'
311. Value: '547' | Text: '547'
312. Value: '547A' | Text: '547A'
313. Value: '549' | Text: '549'
314. Value: '54B' | Text: '54B'
315. Value: '54C' | Text: '54C'
316. Value: '54E' | Text: '54E'
317. Value: '54G' | Text: '54G'
318. Value: '54K' | Text: '54K'
319. Value: '54L' | Text: '54L'
320. Value: '54P' | Text: '54P'
321. Value: '54S' | Text: '54S'
322. Value: '54T' | Text: '54T'
323. Value: '54V' | Text: '54V'
324. Value: '54VCT' | Text: '54VCT'
325. Value: '552K' | Text: '552K'
326. Value: '553K' | Text: '553K'
327. Value: '553W' | Text: '553W'
328. Value: '554B' | Text: '554B'
329. Value: '555G' | Text: '555G'
330. Value: '555M' | Text: '555M'
331. Value: '555N' | Text: '555N'
332. Value: '555P' | Text: '555P'
333. Value: '555S' | Text: '555S'
334. Value: '556' | Text: '556'
335. Value: '557' | Text: '557'
336. Value: '557AE' | Text: '557AE'
337. Value: '557C' | Text: '557C'
338. Value: '557M' | Text: '557M'
339. Value: '558A' | Text: '558A'
340. Value: '558B' | Text: '558B'
341. Value: '558C' | Text: '558C'
342. Value: '558L' | Text: '558L'
343. Value: '558P' | Text: '558P'
344. Value: '55A' | Text: '55A'
345. Value: '55B' | Text: '55B'
346. Value: '55C' | Text: '55C'
347. Value: '55D' | Text: '55D'
348. Value: '55DET' | Text: '55DET'
349. Value: '55ET' | Text: '55ET'
350. Value: '55G' | Text: '55G'
351. Value: '55H' | Text: '55H'
352. Value: '55K' | Text: '55K'
353. Value: '55M' | Text: '55M'
354. Value: '55P' | Text: '55P'
355. Value: '55V' | Text: '55V'
356. Value: '55X' | Text: '55X'
357. Value: '565' | Text: '565'
358. Value: '566' | Text: '566'
359. Value: '566B' | Text: '566B'
360. Value: '568B' | Text: '568B'
361. Value: '56A' | Text: '56A'
362. Value: '56ACT' | Text: '56ACT'
363. Value: '56C' | Text: '56C'
364. Value: '56D' | Text: '56D'
365. Value: '56DET' | Text: '56DET'
366. Value: '56F' | Text: '56F'
367. Value: '56J' | Text: '56J'
368. Value: '56K' | Text: '56K'
369. Value: '56P' | Text: '56P'
370. Value: '56T' | Text: '56T'
371. Value: '57' | Text: '57'
372. Value: '570' | Text: '570'
373. Value: '570ET' | Text: '570ET'
374. Value: '570P' | Text: '570P'
375. Value: '570V' | Text: '570V'
376. Value: '572' | Text: '572'
377. Value: '572A' | Text: '572A'
378. Value: '572K' | Text: '572K'
379. Value: '578' | Text: '578'
380. Value: '578A' | Text: '578A'
381. Value: '578ET' | Text: '578ET'
382. Value: '578PC' | Text: '578PC'
