cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
122,13.050254949220676,80.19396552015209,13.0490629,80.1938845,Reddy Street,arterial,25466538,132.84,10
123,13.085671694315955,80.25557359737746,13.0859571,80.2555208,Purasawalkam High Road,arterial,397330144,32.25,11
124,13.10319675988111,80.27825491122427,13.104549,80.2775016,North Wall Road,arterial,217674878,171.07,10
125,13.083804055243036,79.90742219335038,13.0835758,79.9082837,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,96.7,6
126,12.810553550090049,80.02894222718882,12.8101756,80.0298912,Grand Southern Trunk Road,highway,47572742,111.15,4
127,13.098669268299096,80.21731838693428,13.0995166,80.217425,Konnur High Road,arterial,23803998,94.92,13
128,13.009167022045087,80.12125951314293,13.0097107,80.1211656,Kodambakkam – Sriperumbudur Road,arterial,834623263,61.3,12
129,12.825246883736,79.70664743359447,12.8263762,79.7082716,Chengalpattu - Kancheepuram Highway,highway,1055123511,216.28,17
130,12.900944794787144,79.46041187443161,12.9006877,79.4603333,NH48,highway,1417457216,29.83,2
131,12.804170309322632,80.22511696604795,12.804098,80.2239072,Rajiv Gandhi Salai,arterial,760495118,131.42,5
132,13.155892193120344,80.22817151987122,13.1555952,80.2269937,Madhavaram - Red Hills Road,arterial,102553782,131.74,11
133,13.043156111758243,80.22269566338193,13.0429082,80.2220416,Arya Gowda Road,arterial,1211074477,76.03,17
134,13.037670629280909,80.13446280939333,13.0382972,80.1344583,Mount - Poonamallee - Avadi Road,arterial,268051709,69.67,58
135,12.865264315029224,80.07290179123949,12.8644399,80.0745198,Grand Southern Trunk Road,highway,98357300,197.91,14
136,13.071360337381329,80.12407954934488,13.0715396,80.1230343,Thiruverkadu - Ambattur Road,arterial,1347596043,114.96,11
137,13.097914832370668,80.23554113345493,13.0983954,80.2354855,Konnur High Road,arterial,1048280714,53.78,11
138,13.07971662933734,80.18113278556922,13.0795453,80.1804801,Thiruvalluvar Saalai,arterial,102484441,73.21,32
139,12.8896286677253,80.02641569077792,12.8880479,80.026835,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,729835688,181.55,3
140,13.260609969968588,80.27258075522316,13.2622789,80.2740284,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028662,242.87,5
141,13.1249177929368,79.9121571196475,13.1248986,79.9111109,Unnamed primary Road,arterial,1055265031,113.32,16
142,13.136121622666463,80.20563010284735,13.1377265,80.2075976,Paper Mills Road,arterial,911275606,277.91,16
143,12.998174546745252,80.09424686038845,12.9974667,80.0944867,Kodambakkam – Sriperumbudur Road,arterial,306732036,82.89,6
144,13.171392706502465,80.30365678631206,13.1710834,80.305016,Chennai - Ennore Road,arterial,907799581,151.13,10
145,12.984454951024672,80.18638224335214,12.9910147,80.180964,Grand Southern Trunk Road,arterial,210441982,936.32,14
146,13.148297374713543,80.20219944673357,13.1465943,80.2023367,Chennai Bypass,highway,1289269145,189.96,6
147,13.163830823412384,80.25263158833846,13.1651013,80.2538059,Kamarajar Salai,arterial,31020449,190.06,8
148,13.017921766676013,79.73079025365007,13.0160514,79.730141,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,95385707,219.55,2
149,13.098874698036358,80.25297926112269,13.0977799,80.2528422,Strahans Road,arterial,23803995,122.64,14
150,12.69144935115561,79.97838238296744,12.6923202,79.977506,Anna Salai High Road,arterial,96789536,135.7,8
151,13.208842894370244,80.31764039697535,13.2088824,80.3162235,Chennai - Ennore Road,arterial,29202113,153.45,2
152,12.849467556293334,79.69726593166976,12.8467476,79.6954089,Chengalpattu - Kancheepuram Highway,highway,1287013339,363.32,16
153,12.933895388735664,79.90869877078832,12.9338896,79.9087661,NH48,highway,1172014574,7.33,2
154,12.98957418376449,79.67630111091918,12.9895108,79.6765006,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832404,22.73,2
155,13.025361334413704,80.20677220384177,13.0254279,80.2069983,Inner Ring Road,arterial,1132671558,25.59,6
156,13.116591071697105,80.10292732068648,13.116293,80.10278,Mount - Poonamallee - Avadi Road,arterial,1210791250,36.78,14
157,13.073035022984678,80.25365602553843,13.0731972,80.2524824,Gengu Reddy Road,arterial,23030808,128.39,6
158,13.086559063975242,80.20835627282335,13.0850874,80.2083439,"2nd Avenue, Anna Nagar West",arterial,549373929,163.65,24
159,13.038136733831667,80.19354372038289,13.0376131,80.1933511,Anna Main Road,arterial,34028128,61.85,17
160,12.969569565207866,80.24543188284568,12.9694382,80.2454099,Dr MGR Main Road,arterial,132191984,14.8,3
161,13.139598285550056,79.906469227638,13.1397329,79.9071287,NH716,highway,1054965407,72.96,12
162,12.968785237959512,79.9506406798563,12.9685375,79.9508648,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,23650092,36.72,4
163,12.92268559418795,80.15620418835663,12.9236636,80.1563784,Velachery Mudhanmai Salai,arterial,1148733672,110.38,11
164,13.04090515644416,80.17344902469159,13.040935,80.1730794,Arcot Road,arterial,550612245,40.18,24
165,13.112383400126191,80.29243324911312,13.1128092,80.2923433,Suryanarayana Street,arterial,839213760,48.34,11
166,13.02991837835781,79.82771049523984,13.0299327,79.8278725,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,833415892,17.62,2
167,12.90712044209238,80.09757907707304,12.907067,80.0969048,Grand Southern Trunk Road,highway,1090199937,73.32,4
168,12.813556839166528,79.70628014169381,12.8133381,79.7057931,Uthiramerur - Kancheepuram Road,arterial,209681808,58.14,16
169,13.11134640068736,80.10967890932815,13.1112241,80.1087043,Mount - Poonamallee - Avadi Road,arterial,755068757,106.42,16
170,13.149953611237908,80.10815857477526,13.1489467,80.1041817,Kovilpadagai Main Road,arterial,34654903,444.93,3
171,13.006600809827177,80.24628465627347,13.0066442,80.24615,Sardar Patel Road,arterial,131945992,15.37,5
172,12.989184244582372,80.20059025330649,12.990266,80.1983434,Mount - Medavakkam Road,arterial,838437809,271.54,20
173,13.1050456025914,80.1534034436375,13.1047646,80.1531682,Chennai - Tiruttani - Renigunta Road,highway,725256819,40.32,8
174,13.096575877842133,80.28980267231536,13.0956267,80.2926528,Rajaji Salai,arterial,217848750,326.22,7
175,13.114507774991012,80.2357662973861,13.1139891,80.2351816,Paper Mills Road,arterial,1309299238,85.65,19
176,12.957289132935747,80.1274321504765,12.9577196,80.127177,Tiruneermalai Main Road,arterial,1149846409,55.28,8
177,13.086499237925011,80.18814678542695,13.0861659,80.18815,Bazaar Road,arterial,25377899,37.07,29
178,13.046614603284098,80.12159760941935,13.047624,80.1202266,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,1211048659,186.16,16
179,13.130484579973375,80.15807695498027,13.1302579,80.1579369,Unnamed primary Road,arterial,1189082512,29.42,20
180,13.121572883029428,80.14704310959979,13.122126,80.1473929,Chennai - Tiruttani - Renigunta Road,highway,125180603,72.23,38
181,12.94080916896995,80.18248034195209,12.9406188,80.1827273,Mount - Medavakkam Road,arterial,179253392,34.12,6
182,13.053327908826445,80.27168673653938,13.0531773,80.2717407,Peters Road,arterial,240461906,17.74,11
