Bus_ID,Sequence,Stop_Name,Latitude,Longitude,Students
BUS_34,2,Thiruvottriyur – Ponneri – Panchetty Road,13.2787896,80.2601839,4
BUS_35,1,Uthiramerur - Kancheepuram Road,12.7188324,79.754445,2
BUS_36,1,Vandalur - Mambakkam - Kelambakkam Road,12.7997072,80.1978817,2
BUS_36,2,Rajiv Gandhi Salai,12.804098,80.2239072,5
BUS_37,1,NH48,13.0367234,80.0463079,4
BUS_37,2,Thirumazhisai - Thiruvallur - Uthukottai Road,13.0541191,80.0626209,7
BUS_38,1,Chennai - Ennore Road,13.1841827,80.3087816,7
BUS_38,2,Chennai - Ennore Road,13.2088824,80.3162235,2
BUS_39,1,Unnamed secondary Road,13.0811279,80.165092,30
BUS_39,2,Unnamed secondary Road,13.0832055,80.1720488,24
BUS_40,1,Vanagaram - Ambathur - Puzhal Road,13.0673358,80.1520855,8
BUS_40,2,EVR Periyar Salai,13.0649161,80.1721712,9
BUS_40,3,Alapakkam Main Road,13.0606091,80.1638857,11
BUS_41,1,Mount - Poonamallee - Avadi Road,13.0382972,80.1344583,58
BUS_42,1,Poonamallee - Kundrathur - Pallavaram Road,13.0436252,80.115125,32
BUS_42,2,Mount - Poonamallee - Avadi Road,13.0410842,80.12757,18
BUS_43,1,NH48,13.0608277,80.135595,12
BUS_43,2,Chennai - Chittoor - Bangalore Road (Old NH4),13.047624,80.1202266,16
BUS_43,3,Mount - Poonamallee - Avadi Road,13.053787,80.1131979,10
BUS_44,1,Kovilpadagai Main Road,13.1489467,80.1041817,3
BUS_44,2,Kovilpadagai Main Road,13.1356361,80.1030221,3
BUS_45,1,Thiruvottriyur High Road,13.1158031,80.2832731,17
BUS_45,2,Varadharaja Perumal Koil Street,13.1250972,80.2901414,15
BUS_45,3,Suryanarayana Street,13.1128092,80.2923433,11
BUS_45,4,North Wall Road,13.104549,80.2775016,10
BUS_46,1,Rajaji Salai,13.0956267,80.2926528,7
BUS_47,1,Anna Salai (Mount Road),13.040093,80.2471791,7
BUS_47,2,RA Puram 2nd Main Road,13.0270889,80.2599259,9
BUS_47,3,Ramkrishna Mutt Road,13.0324043,80.267503,6
BUS_47,4,Avvai Shanmugam Salai,13.0480609,80.2627831,6
BUS_48,1,Chittoor - Tiruttani Road,13.1802421,79.6057495,2
BUS_48,2,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,13.166651,79.6151085,2
BUS_49,1,Velachery Mudhanmai Salai,12.9224803,80.1399188,13
BUS_49,2,Camp Salai,12.9177991,80.1459621,7
BUS_49,3,Camp Salai,12.9098737,80.1428582,6
BUS_49,4,Velachery Mudhanmai Salai,12.9236636,80.1563784,11
BUS_50,1,Chennai Tirupati Highway,13.1367858,79.9227684,10
BUS_50,2,NH716,13.1397329,79.9071287,12
BUS_50,3,Unnamed primary Road,13.1248986,79.9111109,16
BUS_51,1,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,13.0160514,79.730141,2
BUS_51,2,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,13.0193065,79.7015351,2
BUS_52,1,Chennai Tirupati Highway,13.1261257,79.9937592,5
BUS_52,2,Chennai Tirupati Highway,13.1250591,80.0079577,3
BUS_53,1,Uthiramerur - Kancheepuram Road,12.8133381,79.7057931,16
BUS_53,2,Uthiramerur - Kancheepuram Road,12.8029775,79.7106416,5
BUS_54,1,Thirumangalam – Mogappair Road,13.0882287,80.1808849,32
BUS_55,1,Thiruvalluvar Saalai,13.0795453,80.1804801,32
BUS_56,1,Bazaar Road,13.0861659,80.18815,29
BUS_56,2,Jawaharlal Nehru Road (100 Feet Road),13.0892987,80.1984626,25
BUS_57,1,EVR Periyar Salai,13.069554,80.181279,10
BUS_57,2,EVR Periyar Salai,13.0731491,80.1896355,6
BUS_57,3,EVR Periyar Salai,13.0767159,80.2051543,11
BUS_58,1,Dr MGR Main Road,12.9694382,80.2454099,3
BUS_58,2,East Coast Road,12.9513769,80.255062,3
BUS_59,1,Bukkathurai - Uthiramerur Road,12.6152364,79.7591194,3
BUS_60,1,Kaliamman Koil Street,13.0601703,80.1956371,19
BUS_60,2,PT Rajan Salai,13.0401134,80.2050964,25
BUS_61,1,Arcot Road,13.0449255,80.1859977,14
BUS_61,2,Reddy Street,13.0490629,80.1938845,10
BUS_61,3,Arcot Road,13.0478205,80.2030528,14
BUS_61,4,Anna Main Road,13.0376131,80.1933511,17
BUS_62,1,Kodambakkam – Sriperumbudur Road,12.9974667,80.0944867,6
BUS_62,2,Kodambakkam – Sriperumbudur Road,13.0053498,80.1077229,2
BUS_63,1,Chengalpattu - Kancheepuram Highway,12.8043217,79.7682319,2
BUS_64,1,Tambaram - Mudichur - Sriperumbudur Road,12.9250316,80.1108545,6
BUS_64,2,Grand Southern Trunk Road,12.9442642,80.1348523,12
BUS_64,3,Grand Southern Trunk Road,12.9318015,80.1230704,18
BUS_65,1,Chennai - Chittoor - Bangalore Road (Old NH4),13.0505209,80.092928,23
