cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students,user_ids
634,13.1615911,79.618344,13.1602018,79.6180653,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,95363875,157.4,1,6743
635,12.809456200716465,80.0276221012739,12.8086737,80.0289339,Grand Southern Trunk Road,highway,47572742,166.74,2,"4298,1504"
636,13.1307263,79.7624177,13.1255121,79.7613666,Tiruvallur - Arakkonam Road,arterial,95365123,590.86,1,494
637,13.08134978672132,80.21798393762424,13.0813149,80.2177915,Anna Arch Road,arterial,102479334,21.2,2,"2095,855"
638,12.985462368961532,80.15498141332725,12.9779821,80.1601139,Grand Southern Trunk Road,arterial,95641250,1000.55,1,1816
639,12.8378721,80.0668308,12.8376723,80.065559,Nellikuppam Road,arterial,1203906300,139.66,1,3537
640,12.85546957263512,80.03885283999973,12.8395098,80.0549493,Grand Southern Trunk Road,highway,1080757453,2488.88,3,"3530,7704,7884"
641,12.8574023,79.6799762,12.8581945,79.6802755,Kancheepuram - Surappan Road,arterial,24162253,93.87,1,6586
642,12.6382649,79.6614376,12.6397262,79.6531944,Kancheepuram - Vandavasi Road,arterial,22832406,909.03,1,4553
643,12.706292,79.6614376,12.7057748,79.6653965,Kancheepuram - Vandavasi Road,arterial,471593519,433.26,1,475
644,13.04665475,80.0994625,13.049869,80.1003032,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,368.83,1,7373
645,13.003656414730871,80.26084529651298,13.0071594,80.2602653,Besant Avenue Road,arterial,28563215,394.55,1,1690
646,12.846148639489792,80.1534604624132,12.8447302,80.1493014,Vandalur - Mambakkam - Kelambakkam Road,arterial,184108779,477.68,1,529
647,12.820719323153185,79.6888621885138,12.8174138,79.6923258,Kancheepuram - Vandavasi Road,arterial,102270131,525.48,2,"4304,6429"
648,13.037497890857418,80.11542536910724,13.038187,80.1132141,Poonamallee - Kundrathur - Pallavaram Road,arterial,835655062,251.5,1,3455
