cluster_id,centroid_lat,centroid_lon,student_count,avg_distance,max_distance,reachability_percentage
37,13.038861185638178,80.12679476891647,10,0.42040000000000005,0.482,71.42857142857143
38,13.0804895969647,79.90774070580902,13,0.3118461538461538,0.596,100.0
39,13.14518697388514,80.24284999532853,10,0.42110000000000003,0.892,83.33333333333334
40,13.127332575634325,80.12212404548163,12,0.7469166666666666,0.99,57.14285714285714
41,12.948667464251296,80.25454288588284,3,0.65,0.918,75.0
42,13.059891032671034,80.27438043781655,19,0.24842105263157893,0.775,86.36363636363636
43,13.208519861396038,79.7585809203351,2,0.7364999999999999,0.841,100.0
44,13.099632893502237,80.13602412088878,13,0.46892307692307694,0.617,100.0
45,12.823539933240218,79.70783637843277,18,0.33972222222222226,0.805,100.0
46,13.148297374713541,80.20219944673357,5,0.39699999999999996,0.727,83.33333333333334
47,12.948013748044001,80.19755248307226,3,0.38166666666666665,0.729,42.857142857142854
48,13.111158597609888,79.96097605708684,2,0.5974999999999999,0.605,66.66666666666666
49,13.009775410683364,80.00286856966916,7,0.20857142857142857,0.272,50.0
50,12.924529918212427,80.12015652108192,4,0.252,0.888,100.0
51,13.125059185668226,80.02668592779547,9,0.4778888888888889,0.817,90.0
52,12.693321935929292,79.97769568688612,10,0.7148000000000001,0.981,76.92307692307693
53,12.899698700000007,79.67613934288332,3,0.7319999999999999,0.732,75.0
54,13.093188190917289,80.22512243355223,17,0.45111764705882357,0.845,85.0
55,13.124333259256298,80.28962049656656,19,0.2998421052631579,0.89,86.36363636363636
56,13.023779883139204,80.17954102317216,10,0.6385000000000001,0.953,76.92307692307693
57,13.070751915295494,80.16161598287535,2,0.7765,0.781,10.526315789473683
58,13.12566321270507,80.25949439852947,4,0.5175,0.805,36.36363636363637
59,12.886821542341776,80.02218440639777,7,0.046571428571428576,0.176,87.5
60,13.090013142411511,79.57020673426109,2,0.028499999999999998,0.03,100.0
61,12.85071237137527,79.6913845843658,9,0.3103333333333334,0.358,90.0
62,13.247458611386406,80.1585363841411,5,0.4726,0.91,100.0
63,13.164492955536328,80.10042657688429,3,0.6123333333333333,0.634,60.0
64,13.3451646,80.2878794,4,0.0,0.0,100.0
65,13.035366860220984,80.15756944996069,15,0.6728,0.874,75.0
66,13.042914045839453,80.23496318079674,3,0.8136666666666666,0.895,42.857142857142854
67,12.773489173010372,79.67854694850571,2,0.329,0.341,100.0
68,12.979204483443235,80.18061211600816,4,0.3035,0.594,100.0
69,12.973943664269347,80.13512258060183,26,0.3985,0.744,96.29629629629629
70,12.879911137558443,79.93610320674523,2,0.548,0.899,40.0
71,13.065531304302397,79.67240666095958,5,0.42519999999999997,0.593,100.0
72,13.164643648257156,80.2537723060157,12,0.44383333333333336,0.963,75.0
73,13.072679670644145,80.21304472525254,15,0.6943333333333332,0.996,44.11764705882353
74,12.941452086077714,80.1401113590119,10,0.47620000000000007,0.896,71.42857142857143
75,13.071516569687722,80.12433139989993,17,0.586,0.968,100.0
76,12.980417265258263,80.25858251343759,3,0.3193333333333333,0.347,30.0
77,13.085197539788808,80.25516237147234,5,0.6484,0.987,35.714285714285715
78,13.121280275130278,80.14704379757042,6,0.4673333333333333,0.83,11.538461538461538
79,13.3425842,80.2209773,3,0.0,0.0,100.0
80,13.124053414013549,80.20612748215284,15,0.36042860544868216,0.5836932870387109,100.0
81,13.086648346887946,80.19114100254475,47,0.4712961262014205,0.9112018518767653,100.0
82,12.971432910105795,80.04733813496158,2,0.539760951525825,0.5846674198984673,66.66666666666666
83,12.807409777615561,80.02766381358934,4,0.3526277904922387,0.42711679998583546,66.66666666666666
84,13.136963568297626,79.90835955432877,19,0.4854864771477978,0.8903856333849334,100.0
85,13.051669490307365,80.11288360433677,15,0.29153788732658564,0.6027013366989441,100.0
86,12.959875564121436,80.21133048998443,4,0.8446471498979778,0.9540399150270692,100.0
87,12.925190247171741,79.88149818888748,3,0.39883790970969285,0.6614460369995626,50.0
