stop_id,stop_name,latitude,longitude,num_students,is_depot,is_school
S40,Pickup Stop 40,12.8029775,79.7106416,3,False,False
S41,Pickup Stop 41,13.0892987,80.1984626,16,False,False
S42,Pickup Stop 42,13.1294933,80.2407261,4,False,False
S43,Pickup Stop 43,12.9513769,80.255062,3,False,False
S44,Pickup Stop 44,12.6152364,79.7591194,3,False,False
S45,Pickup Stop 45,13.0449255,80.1859977,12,False,False
S46,Pickup Stop 46,12.8043217,79.7682319,2,False,False
S47,Pickup Stop 47,12.9318015,80.1230704,13,False,False
S48,Pickup Stop 48,13.0505209,80.092928,17,False,False
S49,Pickup Stop 49,13.1307576,80.1305618,24,False,False
S50,Pickup Stop 50,13.2522051,80.1554569,3,False,False
S51,Pickup Stop 51,13.1464727,80.2401984,9,False,False
S52,Pickup Stop 52,13.0401134,80.2050964,16,False,False
S53,Pickup Stop 53,13.0852877,80.224195,7,False,False
S54,Pickup Stop 54,12.8791391,79.9366357,3,False,False
S55,Pickup Stop 55,13.0974571,80.1462648,9,False,False
S56,Pickup Stop 56,13.1199574,80.0522794,5,False,False
S57,Pickup Stop 57,12.9169387,80.1939435,9,False,False
S58,Pickup Stop 58,12.9722223,80.1912881,11,False,False
S59,Pickup Stop 59,12.9962673,80.2624653,2,False,False
S60,Pickup Stop 60,13.1495337,80.2988791,6,False,False
S61,Pickup Stop 61,12.8196396,79.6954967,30,False,False
S62,Pickup Stop 62,13.0600572,80.274274,15,False,False
S63,Pickup Stop 63,12.780219,79.6776669,5,False,False
S64,Pickup Stop 64,13.0608277,80.135595,10,False,False
S65,Pickup Stop 65,12.9814932,79.967806,3,False,False
S66,Pickup Stop 66,13.1192282,80.0733776,11,False,False
S67,Pickup Stop 67,13.0977707,79.8605871,2,False,False
S68,Pickup Stop 68,13.0606091,80.1638857,11,False,False
S69,Pickup Stop 69,13.1785269,80.0970981,4,False,False
S70,Pickup Stop 70,13.0367234,80.0463079,4,False,False
S71,Pickup Stop 71,13.053787,80.1131979,10,False,False
S72,Pickup Stop 72,13.1188184,80.225731,16,False,False
S73,Pickup Stop 73,12.9991525,80.2147506,7,False,False
S74,Pickup Stop 74,12.9648611,80.1988128,19,False,False
S75,Pickup Stop 75,13.0222134,79.9579704,2,False,False
S76,Pickup Stop 76,12.8206376,79.7180123,6,False,False
S77,Pickup Stop 77,13.0323644,80.1634373,18,False,False
S78,Pickup Stop 78,13.0726049,79.671687,11,False,False
S79,Pickup Stop 79,13.1323215,80.1714386,19,False,False
S80,Pickup Stop 80,12.9029882,79.6836506,3,False,False
S81,Pickup Stop 81,12.7430501,79.9923106,2,False,False
S82,Pickup Stop 82,12.9797452,80.2211016,17,False,False
S83,Pickup Stop 83,13.1038188,80.2043294,19,False,False
S84,Pickup Stop 84,13.0190631,80.1425374,11,False,False
S85,Pickup Stop 85,13.1084685,80.2502219,10,False,False
S86,Pickup Stop 86,13.0712691,80.0330817,2,False,False
S87,Pickup Stop 87,12.9005398,80.0710662,3,False,False
S88,Pickup Stop 88,13.040093,80.2471791,7,False,False
S89,Pickup Stop 89,12.955952,80.1868305,9,False,False
S90,Pickup Stop 90,13.0908856,80.1084504,18,False,False
S91,Pickup Stop 91,12.9442642,80.1348523,12,False,False
S92,Pickup Stop 92,13.1955735,80.15511,4,False,False
S93,Pickup Stop 93,13.094362,80.0066645,5,False,False
S94,Pickup Stop 94,13.1580761,79.8899642,2,False,False
S95,Pickup Stop 95,13.0882287,80.1808849,32,False,False
S96,Pickup Stop 96,13.3403813,80.1968952,2,False,False
S97,Pickup Stop 97,12.9256076,80.1015803,7,False,False
S98,Pickup Stop 98,13.0559984,79.9127309,2,False,False
S99,Pickup Stop 99,13.2989391,80.1558252,2,False,False
S100,Pickup Stop 100,13.029265,80.1112467,10,False,False
S101,Pickup Stop 101,13.1285283,79.6408227,2,False,False
S102,Pickup Stop 102,12.9686602,80.148252,12,False,False
S103,Pickup Stop 103,13.0748287,80.2183293,18,False,False
S104,Pickup Stop 104,13.0254551,80.1831086,9,False,False
S105,Pickup Stop 105,12.8896379,80.1396313,3,False,False
S106,Pickup Stop 106,13.0982989,80.1367939,12,False,False
S107,Pickup Stop 107,13.0490629,80.1938845,10,False,False
S108,Pickup Stop 108,13.0859571,80.2555208,11,False,False
S109,Pickup Stop 109,13.104549,80.2775016,10,False,False
S110,Pickup Stop 110,13.0835758,79.9082837,6,False,False
S111,Pickup Stop 111,12.8101756,80.0298912,4,False,False
S112,Pickup Stop 112,13.0995166,80.217425,13,False,False
S113,Pickup Stop 113,13.0097107,80.1211656,12,False,False
S114,Pickup Stop 114,12.8263762,79.7082716,17,False,False
S115,Pickup Stop 115,12.9006877,79.4603333,2,False,False
S116,Pickup Stop 116,12.804098,80.2239072,5,False,False
S117,Pickup Stop 117,13.1555952,80.2269937,11,False,False
S118,Pickup Stop 118,13.0429082,80.2220416,17,False,False
S119,Pickup Stop 119,13.0382972,80.1344583,58,False,False
S120,Pickup Stop 120,12.8644399,80.0745198,14,False,False
S121,Pickup Stop 121,13.0715396,80.1230343,11,False,False
S122,Pickup Stop 122,13.0983954,80.2354855,11,False,False
S123,Pickup Stop 123,13.0795453,80.1804801,32,False,False
S124,Pickup Stop 124,12.8880479,80.026835,3,False,False
S125,Pickup Stop 125,13.2622789,80.2740284,5,False,False
S126,Pickup Stop 126,13.1248986,79.9111109,16,False,False
S127,Pickup Stop 127,13.1377265,80.2075976,16,False,False
S128,Pickup Stop 128,12.9974667,80.0944867,6,False,False
S129,Pickup Stop 129,13.1710834,80.305016,10,False,False
S130,Pickup Stop 130,12.9910147,80.180964,14,False,False
S131,Pickup Stop 131,13.1465943,80.2023367,6,False,False
S132,Pickup Stop 132,13.1651013,80.2538059,8,False,False
S133,Pickup Stop 133,13.0160514,79.730141,2,False,False
S134,Pickup Stop 134,13.0977799,80.2528422,14,False,False
S135,Pickup Stop 135,12.6923202,79.977506,8,False,False
S136,Pickup Stop 136,13.2088824,80.3162235,2,False,False
S137,Pickup Stop 137,12.8467476,79.6954089,16,False,False
S138,Pickup Stop 138,12.9338896,79.9087661,2,False,False
S139,Pickup Stop 139,12.9895108,79.6765006,2,False,False
S140,Pickup Stop 140,13.0254279,80.2069983,6,False,False
S141,Pickup Stop 141,13.116293,80.10278,14,False,False
S142,Pickup Stop 142,13.0731972,80.2524824,6,False,False
S143,Pickup Stop 143,13.0850874,80.2083439,24,False,False
S144,Pickup Stop 144,13.0376131,80.1933511,17,False,False
S145,Pickup Stop 145,12.9694382,80.2454099,3,False,False
S146,Pickup Stop 146,13.1397329,79.9071287,12,False,False
S147,Pickup Stop 147,12.9685375,79.9508648,4,False,False
S148,Pickup Stop 148,12.9236636,80.1563784,11,False,False
S149,Pickup Stop 149,13.040935,80.1730794,24,False,False
S150,Pickup Stop 150,13.1128092,80.2923433,11,False,False
S151,Pickup Stop 151,13.0299327,79.8278725,2,False,False
S152,Pickup Stop 152,12.907067,80.0969048,4,False,False
S153,Pickup Stop 153,12.8133381,79.7057931,16,False,False
