cluster_id,latitude,longitude,student_count,avg_distance_km,max_distance_km,nearest_stop_distance_km
23,13.334044071605378,79.8923481997472,5,0.8641163825717537,3.9532171674694028,20.70681191262383
24,13.059691385422392,80.2123092236833,26,0.4128005488171435,0.9658713732871518,1.115654520956502
25,13.150391331180884,80.22777924985695,11,0.8080724831258799,1.6305159997542087,1.7407000435029816
242,13.041320852232651,80.12947675303108,8,0.3086189159143937,0.639117020811905,0.6654252294633158
243,13.038105231762016,80.13466123547532,31,0.17059677266396908,0.972456082727453,0.6654252294633158
27,13.171146720637086,80.30363862461621,11,0.4389383060360624,0.7772092631546229,1.09355986994418
28,12.8041664558902,79.76817752058945,10,1.5154516123668755,9.879973547633915,4.492329694391986
29,13.086609241036752,80.18395228204994,26,0.41979398884218405,0.7053695910192366,0.8695016186984711
30,13.030531833806048,80.27563266569247,11,0.47347939973094577,0.694345228301132,1.0679310966084337
32,13.250076970242691,80.1582462543633,6,1.1738478965931896,3.8462922296470885,5.368686031961281
33,13.03208548665721,79.81207409617323,4,1.2788422147284964,1.7158273576614835,4.481324945096406
244,13.129801070527543,80.13294900515298,37,0.29146848937941383,1.0881922553074375,1.0218002255886838
245,13.139452063211774,80.13748503582966,4,0.2652069055627647,0.5186685742705842,1.175535896938546
35,12.969337682255352,80.24376076216289,7,0.8588980782724656,1.4036815720313,1.6871383361992482
36,12.957070976371984,80.13006494985237,13,0.6133451383464181,1.013876780086077,1.9177365281729497
38,12.922015176852105,79.5650936056303,6,3.416158351009757,8.081962211820573,11.584783560778869
39,13.259622331630025,80.27355168109368,6,0.4064423216457799,1.000272442985965,2.3492177317316703
40,13.03254189532412,80.22270262537292,16,0.4815289456344828,0.9040734738726455,1.2198070375816346
42,12.965011031161287,80.19976018070422,22,0.4840641034750115,0.8414841488292537,1.6607786820973014
43,12.9555074283241,79.94252179432038,9,0.28977587875251143,0.9471948245818389,2.1523447809156417
44,12.799620051749663,80.02777060737586,11,1.090336753368752,3.0513957938361442,4.909618120091052
46,12.92071210115745,80.19704795974293,12,0.4359067207194474,1.1371607214741668,1.5133670283837501
47,13.098181982461647,80.23625323084246,17,0.4791898803100407,1.0636318584020434,1.577343011594639
48,13.088035935700328,80.10948516652677,22,0.36072854301230767,0.8122117017267224,1.4867663421557171
49,12.860031440428735,80.04106476422844,6,0.7167143041343502,1.4797868006927433,2.9755159434722334
50,13.298504170033551,80.15506961760387,7,0.6581650223354687,1.3231435792197772,3.7831713900317534
51,12.99426127560296,79.67570912905931,5,3.206590122763315,7.139357621518772,8.423238399578747
52,13.06145457794388,80.16618691689429,30,0.42543854702437617,1.0310058892881213,1.951618218911405
53,13.114495209130755,80.22635277902906,21,0.3930258328892167,0.8985436056153865,0.8011673644879542
54,12.855513546496597,80.14887075413775,3,0.7663967913476547,1.1495979381353774,3.07907424401694
246,12.817799120798366,79.69207243583894,20,0.21732695211657208,0.560289560042109,0.8758298944771689
247,12.823261295742643,79.69791221805085,15,0.3347362000922276,1.0818374815437488,0.8758298944771689
248,13.121407654261438,80.14763252164875,36,0.17753364347458944,0.7054988642195161,0.7778460506556183
249,13.120768641113173,80.15477642179117,3,0.10595758843206456,0.14245964175434261,0.7778460506556183
57,13.03879190813547,80.0544090123834,6,0.3823544381857235,0.5837319875124198,2.2227906912433517
58,13.146460203098576,80.06012578599235,5,2.2602951570686027,5.383822340086942,1.3436627416946172
59,13.413372474992244,80.11330453516312,5,3.4785258924456484,12.44382780758809,11.892056846221482
60,13.19869884223182,80.17806892523535,10,0.8362243135003895,1.438957210422356,2.6326608802786864
250,12.939843475825581,80.14918336117645,19,0.34328112185788967,0.8964084269792878,0.9690424074118622
251,12.9435086659917,80.14107231200343,12,0.5636282638013531,0.9716806811507688,0.9690424074118622
64,12.999685714783528,80.09756604353304,15,0.6948771810623953,3.5030458584846156,1.905529214552206
65,13.149900378295909,80.19771857380061,8,0.7333854580654433,1.0920414094491184,1.7019021299433674
66,13.085571742079305,80.20975302438997,23,0.4003278642789687,1.0079700191972791,1.2663478907735644
67,12.696094770117334,79.6632403145684,7,6.406357825365316,13.741435026746906,9.81848625926373
68,13.070030730911538,80.2257935033171,26,0.483016140855862,0.9579268338247108,1.0503685419038566
69,13.131500852338272,79.96102963750702,5,4.531609519069649,11.818411496086888,2.878151204088576
70,12.910566328450656,80.066738090712,4,0.5606728578102725,0.8803050822378924,1.4135646284770604
73,13.042792982873854,80.205122350005,26,0.4247368965112245,0.9598700866456609,1.102850729329963
74,13.03348506389715,79.85336319621308,6,1.2612304990233196,7.448610831606865,4.481324945096406
75,13.041303268943116,80.25271618977206,14,0.6972713353336927,1.114908422444118,1.8189054273834036
76,12.76083153800081,80.00580046141673,4,0.5405521917938056,1.05426067111837,2.646567482151777
252,13.080666494672672,80.16524049717424,24,0.2566721509343469,0.7108444205033925,0.6996634084657509
